video_id	title	description	published_at	channel_id	channel_title	category_id	tags	thumbnails	live_broadcast_content	view_count	like_count	comment_count	favorite_count	duration	dimension	definition	caption	licensed_content	projection
tfQTDcWXVDA	Every day, our Semi fleet transports battery packs from Giga Nevada to supply our Fremont factory		2024-05-30T19:53:13Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	[]	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
oXqhxJnyrHU	Order Tesla Diner meals right from your car		2025-07-24T22:24:45Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	[]	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
NHRj2hUHJmI	Model X doors open & close automatically with a tap		2025-05-29T17:04:41Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	[]	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
3mvOB88iYkE	Your Tesla can shift directions for you		2025-03-12T19:48:27Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	[]	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
HrTcH_07kHg	Guy converts ‘66 Mustang into a Tesla	📷 IG @calmotivee	2025-08-08T20:41:16Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	[]	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
j7YqcdJZ0io	Start FSD from Park		2025-04-07T21:09:06Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	[]	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
pqIbLwIm_Qk	Optimus catching ball with new hand		2024-11-29T18:26:56Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	[]	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
AnunTXBwOlk	Sustainable Abundance | Master Plan Part IV	"Master Plan Part IV – https://x.com/Tesla/status/1962591324022153607

Since Tesla’s founding, each iteration of our master plan has focused on our north star: to deliver unconstrained sustainability without compromise.

Humans are toolmakers. At Tesla, we make physical products at scale and at a low cost with the goal of making life better for everyone. 
As the influence and impact of artificial intelligence (AI) technology increases, the mission set forth in Master Plan Part IV should come as no surprise.

This next chapter in Tesla’s story will help create a world we've only just begun to imagine and will do so at a scale that we have yet to see. We are building the products and services that bring AI into the physical world.
We have been working tirelessly for nearly two decades to create the foundation for this technological renaissance through the development of electric vehicles, energy products and humanoid robots.

Now, we are combining our manufacturing capabilities with our autonomous prowess to deliver new products and services that will accelerate global prosperity and human thriving driven by economic growth shared by all. We are unifying our hardware and software at scale, and in doing so, we are creating a safer, cleaner and more enjoyable world.

This is sustainable abundance."	2025-09-02T19:29:38Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	['tesla', 'model s', 'model x', 'model 3', 'powerwall', 'electric car', 'elon musk', 'ludicrous', 'battery']	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
th1R6KID7F8	Powering Puerto Rico | Tesla Solar and Powerwall	"After Hurricane Maria, Puerto Rico's grid has struggled to recover, leaving many without reliable electricity and facing high costs. Tesla Solar and Powerwall are protecting homeowners from outages and saving them money. The Tesla Virtual Power Plant supports the grid and helps Puerto Ricans become part of the solution while benefiting their community.

Powerwall 3 – https://www.tesla.com/powerwall

Después del huracán María, la red eléctrica de Puerto Rico ha tenido dificultades para recuperarse. Muchos se han quedado sin electricidad confiable y enfrentan precios elevados. Los sistemas de Energía solar y Powerwall protegen a los propietarios contra apagones y les ahorran dinero. La Planta de energía virtual de Tesla, apoya la red eléctrica y ayuda a los puertorriqueños a ser parte de la solución, al mismo tiempo que beneficia a su comunidad."	2025-01-02T18:39:48Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	['tesla', 'model s', 'model x', 'model 3', 'powerwall', 'electric car', 'elon musk', 'ludicrous', 'battery']	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
uz394aKhfLY	Discover: Camp Mode	"Use Camp Mode to stay comfortable while camping in your Tesla. Put your vehicle into Camp Mode to maintain its cabin lighting, temperature, airflow and to play music.

http://www.tesla.com"	2021-12-01T20:14:10Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	['tesla', 'model s', 'model x', 'model 3', 'powerwall', 'electric car', 'elon musk', 'ludicrous', 'battery']	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
9OV2fEeyuZg	FSD Supervised sees more than you		2024-11-19T20:01:34Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	[]	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
zUVvagfTpgg	Supercharging | Road Trips Made Easy	"With 45,000+ Superchargers, Tesla owns and operates the largest global fast charging network in the world. Superchargers can recharge up to 200 miles of range in just 15 minutes.

https://www.tesla.com/supercharger"	2023-06-12T17:03:45Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	['tesla', 'model s', 'model x', 'model 3', 'powerwall', 'electric car', 'elon musk', 'ludicrous', 'battery', 'tesla supercharging', 'supercharger', 'tesla supercharger', 'tesla charging', 'car charging', 'how to charge a car', 'tesla road trips', 'tesla plug', 'tesla chargers', 'ev charging']	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
_XvHhFjrbn0	The New Model Y Performance | Tesla	"Now available in the US & Europe — Designed to deliver performance that’s just as good on your daily drive as it is on the open road

– 3.3 seconds 0-60 mph
– 155 mph top speed
– 306 mi range

Design yours - https://www.tesla.com/modely/designx

Vehicle exterior upgrades for even better performance:
– New front + rear fascia & carbon spoiler for better aerodynamics 
– Optimized wheels & tires for precision control 
– Performance carbon spoiler = greater downforce, reduced drag  

A consistently smooth & stable ride: 
– Adaptive damping adjusts handling based on road conditions 
– New Drive Modes provide more freedom for high-speed driving 
– Staggered wheel + tire fitment provides better grip and steering 

Higher range:
More range thanks to new high-density battery cells with increased charge capacity 

Performance & comfort go hand in hand:
– Quiet cabin thanks to premium sound-damping materials & acoustic glass  
– Heated & ventilated sport seats in first row w/ added bolstering & side cushions that hold you in your seat when cornering + powered thigh cushion extenders for extra comfort 
– Perforated & heated seats in the back with power recline 
– Our highest resolution 16"" center touchscreen = more pixels, more fun"	2025-08-29T05:49:59Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	['tesla', 'model s', 'model x', 'model 3', 'powerwall', 'electric car', 'elon musk', 'ludicrous', 'battery']	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
laO0RzsDzfU	Discover: Sentry Mode	Protect your Tesla against threats, theft and more with Sentry Mode.	2020-11-13T00:23:51Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	['tesla', 'model s', 'model x', 'model 3', 'powerwall', 'electric car', 'elon musk', 'ludicrous', 'battery']	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
nwZQe1s2ScM	Discover: Dog Mode	"Keep your pets comfortable while you’re away. 

Featuring Patty.

https://www.tesla.com/"	2020-11-19T17:16:42Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	['tesla', 'model s', 'model x', 'model 3', 'powerwall', 'electric car', 'elon musk', 'ludicrous', 'battery']	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
3FhDfy9Ufl4	Lars Explains | Tesla Vehicle Safety	"Engineered with an all-electric architecture, Tesla vehicles provide a very low probability of rollover risk and occupant injury. Lars Moravy, VP of Vehicle Engineering at Tesla, explains why.

https://www.tesla.com/safety"	2023-03-31T00:15:27Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	['tesla', 'model s', 'model x', 'model 3', 'powerwall', 'electric car', 'elon musk', 'ludicrous', 'battery', 'tesla car safety', 'tesla crash safety', 'tesla passive safety', 'tesla safety structure', 'tesla crumple zone', 'tesla safety engineering', 'tesla lars']	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
iPJDW5EaIzE	The New Model Y In 60 Seconds | Tesla	"Redesigned from end to end, check out the upgrades to the new Model Y that make the best-selling car in the world even better 

Design Yours – https://www.tesla.com/modely/design"	2025-03-08T17:16:36Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	['tesla', 'model s', 'model x', 'model 3', 'powerwall', 'electric car', 'elon musk', 'ludicrous', 'battery']	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
V8Eq-GDLod4	Screen Tilt Wars	#shorts	2023-08-08T22:43:27Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	[]	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
LRb1yrFJj08	Model Y glass roof ftw		2025-01-02T23:10:00Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	[]	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
CXwXy6rTcaQ	Send directions to your Tesla right from your phone		2024-06-28T02:21:47Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	[]	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
-Kpva0LcZzY	Never forget where you parked again (Tesla App → Location)		2024-08-23T16:16:48Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	[]	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
alVeBDFo0sk	Model 3 Performance seats		2025-06-21T20:12:47Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	[]	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
F1S0buG6Ki4	More Cowbell!	#shorts	2023-08-08T23:09:05Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	[]	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
n7Pwpxj3eQg	Actually Smart Summon (ASS)	"Actually Smart Summon enables your car to come to you from anywhere in the parking lot or to a location of your choosing. Summoning your Tesla makes loading up easier and keeps you dry in the rain.

Actually Smart Summon is designed and intended for use only on parking lots and driveways located on private property where the surrounding area is familiar and predictable. Do not use on public roads."	2024-10-22T17:03:28Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	['tesla', 'model s', 'model x', 'model 3', 'powerwall', 'electric car', 'elon musk', 'ludicrous', 'battery']	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
8NdBCAv6jUw	Work it		2025-04-09T17:35:24Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	[]	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
C6JAuSgn3M8	Optimus learning to stumble		2024-12-10T19:04:30Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	[]	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
ilNlp6d-Kgg	The Ultimate Spill Test	#shorts	2023-07-28T18:42:24Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	['Tesla white seats', 'White seat spill test', 'How to clean Tesla seats', 'Tesla cleaning', 'Tesla maintenance']	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
blW-Fa4a10g	Giga Berlin Fly Through 2.0 | Tesla	Come join the Giga Berlin team – https://www.tesla.com/giga-berlin	2024-03-14T21:39:12Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	['tesla', 'model s', 'model x', 'model 3', 'powerwall', 'electric car', 'elon musk', 'ludicrous', 'battery', 'tesla factory flythrough', 'tesla factory fpv', 'tesla fpv', 'tesla berlin fpv', 'giga berlin fpv', 'tesla factory fpv drove', 'tesla drone fpv', 'tesla giga berlin', 'tesla gigafactory', 'berlin gigafactory', 'tesla berlin drone fly']	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
sDUOky6TYtw	Cybercab Wireless Charging | Tesla	No hands required	2024-10-21T21:39:42Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	['tesla', 'model s', 'model x', 'model 3', 'powerwall', 'electric car', 'elon musk', 'ludicrous', 'battery']	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
X11biZre36s	Model Y had a glow up		2025-01-31T01:37:42Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	[]	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
jWXR0fjrIfc	Cybertruck vs Porsche 911 (with a twist)		2023-12-05T22:51:45Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	[]	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
v9AMAYoLEt8	New Diamond Black Paint 💎		2025-04-07T16:54:36Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	[]	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
ISUaWrOooiE	Beach Buggy Racing 2	"Your next charging session is going to be SO 👏 MUCH 👏 FUN 👏

Beach Buggy Racing 2 by Vector Unit is starting to roll out to Tesla cars today. https://ts.la/2WS4fEb 

Not an owner? Visit a Tesla store to try it 🎮"	2019-06-18T19:14:43Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	['tesla', 'model s', 'model x', 'model 3', 'powerwall', 'electric car', 'elon musk', 'ludicrous', 'battery']	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
TsuCSLouDJE	Tesla Car Colorizer	#shorts	2023-08-04T23:40:42Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	[]	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
z7PsJWApdeU	Next-Gen Tesla Supercharger	"500kW Supercharging is coming next year ⚡️

Today, we’re announcing the V4 Cabinet — capable of delivering up to 500kW for cars and 1.2MW for Semi

Faster Charging:
Supports 400V-1000V vehicle architectures, including 30% faster charging for Cybertruck. S3XY vehicles enjoy 250kW charge rates they already experience on V3 Cabinet — charging up to 200 miles in 15 minutes

Faster Deployments:
V4 Cabinet powers 8 posts, 2X the stalls per cabinet. Lower footprint and complexity = more sites coming online faster

Next-generation Hardware:
Cutting-edge power electronics designed to be the most reliable on the planet, with 3X power density enabling higher throughput with lower costs

Our first sites with V4 Cabinets are going into permitting now. First openings in 2025

Tesla Supercharging – https://www.tesla.com/supercharger"	2024-11-18T20:08:04Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	['tesla', 'model s', 'model x', 'model 3', 'powerwall', 'electric car', 'elon musk', 'ludicrous', 'battery']	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
OCfPJ_6KSzs	Falcon wing doors | How it started vs how it's going		2023-03-13T21:45:57Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	['tesla', 'model s', 'model x', 'model 3', 'powerwall', 'electric car', 'elon musk', 'ludicrous', 'battery', 'tesla falcon wing doors', 'falcon wing doors', 'falcon wing doors making of']	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
DyGgrkeds5U	Tesla Heat Pump | More Range in Cold Weather	Heat Pump draws excess heat from the powertrain to maximize Supercharging speeds & driving range in cold weather. For example, your Tesla can use heat created by the battery & drive units to warm your cabin, saving energy & improving range on long drives. Heat Pump comes standard in every new Tesla.	2023-01-20T04:58:41Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	['tesla', 'model s', 'model x', 'model 3', 'powerwall', 'electric car', 'elon musk', 'ludicrous', 'battery', 'tesla heat pump', 'tesla winter range', 'tesla efficiency', 'car heat pump', 'tesla behind the scenes', 'tesla bts', 'tesla in snow']	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
5OdeKlDhz8E	Tesla Dashcam		2025-03-05T17:48:52Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	[]	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
6q5ethrBTXM	Cybertruck Steer-By-Wire vs Mechanical Steering		2025-02-25T20:39:05Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	[]	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
D1CqcLM0P7c	What 0-60 in the new Roadster sounds like	"First test rides in the new Roadster.

Learn more: https://ts.la/Roadster"	2018-12-07T15:56:12Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	['tesla', 'electric car', 'elon musk', 'ludicrous', 'battery']	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
Qfj4urMF8CU	Cybercab | The Future is Autonomous	"Cybercab is individualized point-to-point autonomous transport that will provide fast, convenient & the most affordable transportation for everyone

Hail your car & use it as long as you need for errands, commuting & more

It will automatically adjust to your climate, seating position, music preferences & more before it arrives

To create a sustainable future, we must democratize transportation. We do this by making driving more efficient, affordable and safe. Autonomy makes this future possible, today

Discover Autonomy – https://www.tesla.com/we-robot"	2024-10-29T21:11:43Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	['tesla', 'model s', 'model x', 'model 3', 'powerwall', 'electric car', 'elon musk', 'ludicrous', 'battery']	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
VLLLGijAYYE	Highrider to lowrider		2025-05-23T17:05:02Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	[]	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
T2rbdMlmpYY	Introducing Dog Mode	Set a cabin temperature to keep your dog comfortable while letting passersby know they don't need to worry https://ts.la/2E90Ndk	2019-02-14T03:27:24Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	['tesla', 'model s', 'model x', 'model 3', 'electric car', 'tesla dog mode', 'dog mode', 'tesla dogs', 'tesla dog feature', 'tesla dog temperature', 'tesla pet mode', 'elon']	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
7-4yOx1CnXE	Flying Through Giga Berlin	Come join the team! https://www.tesla.com/giga-berlin	2022-04-01T20:37:13Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	['tesla', 'model s', 'model x', 'model 3', 'powerwall', 'electric car', 'elon musk', 'ludicrous', 'battery', 'giga berlin', 'gigafactory berlin', 'tesla berlin factory']	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
L0phoGxEeic	TRON Mode		2025-10-10T14:37:27Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	[]	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
k0oMa2jWXaM	Meet the Updated Model S & X | Tesla	"Model S & X are now even better – launching this week in the US 🇺🇸

Design yours
Model S – https://www.tesla.com/models
Model X – https://www.tesla.com/modelx

Highlights:
– Up to 410 miles of range (Model S Long Range – our longest range Tesla yet)
– Even quieter inside: less wind + road noise & more effective Active Noise Cancellation
– New wheel designs & improved aerodynamics = more range
– Frost Blue paint color
– Front fascia camera for better visibility
– Dynamic ambient lighting that brings unique animations along the dash & doors upon entry
– An even smoother ride thanks to new bushings & suspension design
– Adaptive driving headlights
– New exterior styling for Model S Plaid, optimized for high-speed stability
– More space for 3rd row occupants & cargo (Model X)"	2025-06-13T19:41:40Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	['tesla', 'model s', 'model x', 'model 3', 'powerwall', 'electric car', 'elon musk', 'ludicrous', 'battery']	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
-aTXUrmmLdo	Cybertruck at Hell's Gate	"Tri Motor Cybertruck crawling up Hell's Gate on the Hell's Revenge trail in Moab, Utah — on stock tires.

https://www.tesla.com/cybertruck"	2024-03-07T03:24:05Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	['tesla', 'model s', 'model x', 'model 3', 'powerwall', 'electric car', 'elon musk', 'ludicrous', 'battery', 'cybertruck', 'cybertruck offroad', 'cybertruck off-roading', 'cybertruck utah', 'cybtertruck hell', 'cybertruck rock crawl', 'tesla cybertruck offroading', 'tesla cybertruck moab', 'cybertruck moab', 'cybertruck hells gate']	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
E5EC254_TeE	Huge Tesla Light Show in Finland		2024-12-03T18:29:13Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	[]	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
vVFXsk0n24o	This Robot Sucks		2025-01-31T16:25:38Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	['tesla', 'model s', 'model x', 'model 3', 'powerwall', 'electric car', 'elon musk', 'ludicrous', 'battery']	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
7xxCgtXEMVY	Model 3 Guide | Key Card	Key Card is an alternate method of accessing your car if your Phone Key is not available, or if someone else needs temporary access to your Model 3—such as a valet. https://3.tesla.com/model3/design	2018-04-28T18:47:52Z	UC5WjFrtBdufl6CZojX3D8dQ	Tesla	2	['Tesla Model 3', 'Tesla Model 3 features', 'electric car', 'electric vehicle', 'Tesla Bluetooth', 'Tesla phone key', 'Tesla car control', 'Tesla remote control', 'Model 3 overview', 'remote control of a Model 3', 'unlocking a Model 3', 'locking a Model 3', 'tesla']	5	none	0	0	0	0	PT0S	N/A	N/A	false	False	rectangular
